hotel_name,food_type,location,rating,delivery_time,percentage_off,amount_off
subway,"salads, snacks, desserts, beverages",kandivali east,0.0,0,40.0,80.0
mohanlal s mithaiwala,"sweets, desserts, snacks",borivali,4.9,33,0.0,0.0
parsi dairy farm,indian,borivali,4.6,31,0.0,0.0
adarsh,"snacks, sweets, bakery",borivali,4.5,31,10.0,1900.0
mama mia! - italian ice creams & cakes,"bakery, desserts, ice cream",borivali,4.4,27,0.0,175.0
trishiv chinese corner,"chinese, fast food, street food, north indian",borivali,4.1,34,10.0,1000.0
baskin robbins - ice cream desserts,desserts,kandivali east,4.6,13,30.0,75.0
wagh bakri tea lounge,"beverages, snacks, fast food, street food, desserts",borivali,3.5,39,20.0,700.0
chitale xpress,"sweets, desserts",borivali,4.7,28,0.0,0.0
cheesecakes by cakezone,"bakery, desserts, sweets, beverages, ice cream, juices, bengali",l t road junction,4.4,33,0.0,175.0
birdy's cake shop,"desserts, bakery",malad east,4.1,35,0.0,0.0
jeden-the cake expert,"desserts, bakery, sweets",kandivali west,4.3,31,0.0,125.0
iceberg organic icecreams,ice cream,borivali,0.0,36,0.0,150.0
oven story pizza - standout toppings,"pizzas, pastas, italian, desserts, beverages",kandivali east,4.4,0,0.0,125.0
ovenfresh cakes and desserts,"bakery, desserts, beverages, ice cream, sweets, juices, bengali, pizzas",borivali,4.1,34,0.0,125.0
vadilal ice creams,"ice cream, desserts",kandivali west,4.1,35,0.0,175.0
amore gelato - italian ice cream,"ice cream, desserts",borivali,4.4,34,0.0,0.0
burger king,"burgers, american",kandivali east,4.3,39,60.0,120.0
itc fabelle chocolates,"bakery, desserts",l t road junction,4.7,33,25.0,179.0
mad over donuts,"desserts, sweets, bakery",kandivali east,4.6,27,50.0,100.0
"frozen bottle - milkshakes, desserts and ice cream","beverages, desserts, ice cream, waffle, bakery, healthy food",kandivali east,4.3,15,0.0,100.0
"gianis - ice cream, shakes & sundaes","ice cream, bakery, beverages",malad kan east,4.6,15,0.0,0.0
tibb's frankie,"snacks, biryani, north indian, mexican, beverages",kandivali east,4.1,23,30.0,75.0
the biryani life,"biryani, mughlai, lucknowi, hyderabadi, north indian, kebabs, desserts, beverages",kandivali east,0.0,0,60.0,110.0
sweet truth - cake and desserts,"snacks, bakery, desserts, beverages",kandivali east,4.1,20,60.0,110.0
cafe coffee day,"beverages, cafe, snacks, desserts, burgers, ice cream, bakery, fast food",kandivali east,4.3,28,0.0,159.0
firangi bake,"pizzas, pastas, italian, mexican, healthy food, desserts, beverages",kandivali east,3.9,30,0.0,0.0
apsara ice creams,"ice cream, desserts",kandivali east,4.7,14,0.0,0.0
great indian khichdi by eatfit,"home food, indian, north indian, healthy food, snacks, desserts, rajasthani, south indian, maharashtrian, sweets",gorai road,4.3,37,0.0,159.0
wendy's,"burgers, american, fast food, snacks, beverages",jog gor east,4.2,49,0.0,129.0
keventers - milkshakes & desserts,"beverages, ice cream, desserts, healthy food",kandivali west,4.2,29,20.0,120.0
green therapy co.,"healthy food, juices, beverages",malad kan east,4.5,38,50.0,100.0
freshmenu,"continental, chinese, oriental, asian, healthy food, fast food, indian, desserts",goregaon east,4.1,49,0.0,129.0
lucky restaurant (since 1938),"biryani, north indian, chinese, mughlai, seafood, desserts, tandoor, punjabi, indian",goregaon east,4.1,40,0.0,125.0
the paratha house,"north indian, indian",malad kan east,4.1,47,50.0,100.0
rabdi wala,"desserts, gujarati, rajasthani, snacks",borivali west,4.2,37,0.0,0.0
ladu samrat,"maharashtrian, snacks, street food, indian, desserts, chaat",kandivali east,4.3,43,0.0,0.0
greens restaurant,"north indian, chinese, south indian",malad west,4.4,54,0.0,100.0
chocolateria san churro,desserts,borivali,2.2,39,0.0,175.0
the churro co.,"desserts, beverages, waffle",kandivali east,4.1,38,0.0,50.0
the dough therapy,"pizzas, pastas, italian",kandivali west,4.1,39,0.0,175.0
barbeque nation,"north indian, barbecue, biryani, kebabs, mughlai, desserts",kandivali east,0.0,0,40.0,80.0
aromas cafe & bistro,"continental, italian, lebanese, beverages",malad kan east,4.2,50,0.0,125.0
chai pe charcha,beverages,kandivali west,0.0,0,20.0,100.0
cremure,"bakery, desserts, waffle, beverages",malad west,4.5,38,0.0,175.0
eatfit,"chinese, healthy food, tandoor, pizzas, north indian, thalis, biryani",gorai road,4.2,39,0.0,179.0
biryani can - pure veg biryanis,biryani,kandivali west,3.9,37,0.0,175.0
cheelizza - india ka pizza,"pizzas, italian, fast food",kandivali west,4.2,39,0.0,175.0
bake ur day - freshest cakes,"desserts, bakery, cakes and pastries, beverages",borivali west,3.7,39,0.0,175.0
radha krishna,indian,borivali,3.8,38,0.0,0.0
amar juice center,"street food, beverages, south indian",borivali west,4.4,37,0.0,0.0
mm mithaiwala,"sweets, snacks, desserts, beverages",malad west,4.4,42,15.0,800.0
haldiram's restaurant,"snacks, south indian, desserts, beverages",malad kan east,4.3,38,50.0,100.0
taco bell,mexican,kandivali east,0.0,0,50.0,100.0
wow! momo,"tibetan, healthy food, asian, chinese, snacks, continental, desserts, beverages",malad east,4.1,45,0.0,175.0
bangalore iyangar's bakery,"bakery, desserts, snacks",kandivali west,4.9,47,0.0,0.0
dum safar biryani by barbeque nation,"biryani, kebabs, tandoor, indian, desserts",growels mall,4.3,48,40.0,80.0
wow! china,"tibetan, healthy food, asian, chinese, snacks, continental, desserts, beverages",akruli road,4.1,43,60.0,120.0
malgudi,"south indian, mangalorean, andhra, snacks, healthy food",kandivali east,4.1,37,0.0,125.0
oye kiddan,north indian,borivali west,3.9,43,0.0,175.0
sbarro - new york pizza,"italian, pizzas, desserts, beverages",kandivali east,3.9,38,0.0,125.0
cookie man,"desserts, ice cream, bakery",kandivali east,4.4,37,40.0,80.0
pop tate's,"continental, italian, european, mexican",kandivali east,4.2,37,20.0,50.0
shiv sagar,"indian, continental, chinese",mahavir nagar,4.3,38,10.0,600.0
urban tadka,"north indian, mughlai",kandivali east,4.3,43,20.0,50.0
uncle's kitchen (since 1987),"chinese, asian, thai",malad west,4.4,42,15.0,1000.0
bikaji food junxon,"sweets, snacks",malad west,4.6,46,0.0,100.0
rajubhai dhoklawala,"sweets, desserts, gujarati, snacks",borivali,4.5,40,0.0,0.0
deepak (borivali),"indian, chinese, south indian, snacks",borivali west,4.5,38,0.0,0.0
godwa,"american, beverages, thalis",malad borivali area,4.4,39,10.0,600.0
radha krishna (borivali),"indian, chinese, south indian, mexican, italian",borivali west,4.4,39,0.0,0.0
tulsi vihar,"north indian, chinese, south indian, beverages",kandivali west,4.2,42,0.0,100.0
smokin curries,"biryani, indian, north indian, tandoor, kebabs, fast food, desserts, beverages",malad kan west,4.2,54,0.0,0.0
the food studio kitchen & bar,"north indian, continental, asian, punjabi, chinese, italian, mughlai",malad west,4.4,56,0.0,0.0
bhavesh chinese,"chinese, indian",borivali west,4.2,43,0.0,0.0
spukies - the veg sigree,"north indian, jain, chinese, south indian",mumbai,4.3,46,0.0,0.0
agri malhari katta,"indian, chinese",borivali,4.3,50,0.0,0.0
zaika fun dining | club aquaria,"north indian, chinese, biryani, continental",borivali west,4.3,44,0.0,175.0
pishu's - drink your fruit,"juices, beverages, healthy food",malad west,4.4,55,0.0,150.0
madhuram sweets & chaat,desserts,dahisar,4.6,46,0.0,100.0
cosway,"chinese, north indian, indian",pg road,4.1,51,0.0,175.0
kansar pure veg thali,thalis,chikoowadi,4.1,44,15.0,800.0
jain subkuchh food plaza,"street food, north indian, chinese, desserts, south indian",malad west,4.3,52,0.0,175.0
pangat (gorai),"indian, chinese, malwani, seafood, kebabs, biryani, maharashtrian",borivali west,4.4,40,0.0,0.0
shenoy's,"fast food, snacks, chinese, chaat",jog gor east,4.1,48,0.0,0.0
surmai restaurant,"seafood, indian, chinese",malad west,4.3,47,0.0,175.0
qutuz irani cafe,fast food,chincholi bunder road,4.3,51,0.0,0.0
anda apna apna,fast food,malad west,4.5,52,0.0,175.0
shreeji pure veg,"indian, south indian, chinese, desserts, beverages",jog gor east,4.5,49,0.0,0.0
sai veg world,"indian, chinese",goregaon east,4.3,50,0.0,175.0
baba falooda,desserts,mira road,4.5,40,0.0,0.0
persia darbar,"north indian, biryani, chinese, arabian, mughlai",goregaon east,4.3,44,0.0,175.0
cakezone,"bakery, desserts, sweets, ice cream",l t road junction,4.2,37,0.0,125.0
bikkgane biryani,"biryani, hyderabadi, andhra, south indian, north indian, mughlai, kebabs",malad kan west,4.1,54,0.0,175.0
chai point,"bakery, beverages, maharashtrian, snacks, street food, south indian, punjabi, chaat, indian, american, north indian, fast food, desserts, cafe, healthy food, home food",malad west,4.3,52,25.0,125.0
biryani by kilo,"biryani, hyderabadi, north indian, kebabs, mughlai, desserts",malad west,4.1,70,0.0,175.0
curry mantra,"indian, chinese, tandoor, biryani, mangalorean, malwani, kerala, goan, chettinad, mughlai, seafood",dahisar,4.3,39,0.0,0.0
oye teri - the kulcha kulture,indian,borivali,4.2,39,0.0,0.0
noorani restaurant,"chinese, north indian",malad east,4.1,39,0.0,125.0
cheesecake & co.,"bakery, desserts",jog gor east,4.2,40,0.0,150.0
smoor,"desserts, bakery, beverages",i c colony,4.3,39,0.0,175.0
hrx by eatfit,"healthy food, salads, keto",gorai road,4.4,38,0.0,199.0
shahi darbar,"beverages, desserts, ice cream",malad kan west,0.0,41,0.0,0.0
gomantak,"indian, seafood, tandoor, malwani, chinese",dahisar,4.2,53,25.0,125.0
cafe heaven,"mughlai, chinese, tandoor, indian",malad west,4.1,44,0.0,100.0
landmark restaurant veg diet,"north indian, chinese, continental, beverages",malad kan west,4.1,50,0.0,0.0
supermani,"south indian, biryani, fast food, snacks",borivali,4.5,47,0.0,0.0
aahar-e-kolkata,"bengali, thalis, biryani, desserts",malad kan east,4.2,55,0.0,0.0
suraj lama momos,chinese,jog gor east,4.6,55,0.0,0.0
charcoal bistro,"indian, chinese",jog gor east,3.5,44,0.0,0.0
the tiny tub,"desserts, bakery, sweets, snacks, cafe",malad kan west,0.0,0,0.0,100.0
"dimsum wu (chinese, momo, shushi & more)","pan-asian, indonesian, thai, chinese, desserts",borivali,4.2,51,0.0,175.0
kolkata heshel,bengali,malad west,4.5,64,10.0,800.0
social,"north indian, chinese, fast food, biryani, pizzas, salads, kebabs, juices, desserts, beverages",goregaon east,4.3,58,60.0,120.0
ohhdaily - healthy & homely tiffins,"thalis, indian, home food, chinese",malad west,4.3,42,0.0,175.0
harvest salad co,"salads, healthy food, snacks",road ramachandra lbe,4.3,44,40.0,80.0
maiz mexican kitchen,"mexican, indian, salads",road ramachandra lbe,4.4,44,40.0,80.0
veg sutra,"north indian, chinese",goregaon,4.2,48,0.0,100.0
balaji snacks,"snacks, chaat, south indian",malad east,3.3,39,0.0,0.0
shree krishna,"indian, chinese, north indian, tandoor, seafood, biryani",kandivali west,4.3,45,0.0,250.0
speak burgers by vicky ratnani,"burgers, american, beverages",malad kan west,0.0,0,0.0,175.0
spicy bowl,"chinese, biryani, north indian, tandoor, beverages",goregaon,3.5,65,0.0,0.0
fire bowl,"chinese, italian, mexican, thai",malad west,4.3,55,0.0,0.0
falafel's,"lebanese, mediterranean, arabian, middle eastern, rolls & wraps, jain",goregaon east,0.0,0,0.0,175.0
the pancake story,"desserts, beverages",malad west,4.4,55,0.0,100.0
baithack taste of kulhad,"beverages, fast food, snacks",borivali,3.8,46,0.0,0.0
curry culture,"biryani, north indian, kebabs, malwani, chinese, seafood, asian, thai, mughlai, indian, desserts, tandoor",malad west,4.4,54,0.0,0.0
foodaholic,chinese,jog gor east,0.0,53,0.0,150.0
the bar stock exchange,"north indian, biryani, chinese, asian, kebabs, italian",malad west,0.0,0,0.0,0.0
punjabi grill,"punjabi, combo, tandoor, snacks, chinese, biryani",kandivali east,4.1,42,15.0,700.0
bandra cakery by bunty mahajan,"bakery, desserts",kandivali west,4.4,50,30.0,75.0
krishna lunch home,"north indian, indian, tandoor, seafood",borivali,4.2,44,0.0,0.0
fried nation,"fast food, american",malad west,4.4,49,0.0,0.0
cake works,indian,malad kan east,0.0,46,30.0,150.0
meraki,chinese,malad west,4.2,49,0.0,175.0
dale's eden cake shop,"desserts, bakery, sweets",malad west,4.4,38,0.0,175.0
banana leaf,"south indian, snacks, andhra",borivali west,4.4,39,0.0,100.0
"house of biryan- biryani, kepsa and more","biryani, kebabs, rolls",malad west,4.4,40,0.0,175.0
brijwasi sweets original since 1946,"sweets, snacks, chaat, beverages, indian",malad kan west,4.4,50,15.0,800.0
deliciae by bunty mahajan,desserts,kandivali west,4.6,48,0.0,175.0
sahara restaurant,"north indian, chinese, tandoor, biryani",malad east,3.8,43,0.0,175.0
copper chimney,"north indian, indian, punjabi, biryani, tandoor, kebabs, mughlai, desserts",malad west,4.2,80,15.0,1200.0
jimis burger,american,jog gor east,4.6,47,0.0,0.0
sadak chaap,"tandoor, indian, snacks",malad west,4.4,48,0.0,100.0
jamai shoshthi,"bengali, biryani, mughlai",goregaon,4.2,59,0.0,0.0
carter's blue,"indian, chinese, lebanese",malad west,4.4,49,0.0,0.0
hotel ram krishna,indian,dahisar east,4.5,41,0.0,0.0
delicacy,indian,kandivali west,4.4,40,0.0,0.0
5 spice,"chinese, asian, thai, seafood",borivali west,4.2,40,0.0,150.0
bombay juice,"juices, beverages, salads","ratna bhai chawk saibaba nagar, borivali west",3.9,41,20.0,700.0
bombay sweet shop,"desserts, sweets, bakery, snacks, indian",malad kan west,4.7,41,0.0,175.0
balaji pure veg,"chinese, south indian",malad kan west,4.2,44,10.0,1000.0
fuel up,"healthy food, salads, juices, grill, american, continental",malad west,4.5,55,0.0,150.0
meal bowl,"indian, chinese",goregaon west,4.3,45,0.0,100.0
the french connection,"bakery, snacks, italian",malad kan east,4.6,15,30.0,75.0
madrasi kaapi house,"south indian, combo, beverages",evershine millenium paradise,4.4,26,20.0,50.0
singarawala,"bengali, mughlai, biryani, thalis",malad kan east,4.6,53,0.0,0.0
shivam sundaram,"north indian, chinese, south indian",express highway,4.4,28,20.0,50.0
dbw - de burger world,"burgers, snacks, beverages",thakur village,4.5,26,0.0,0.0
the biryani story,"biryani, kebabs, tandoor, beverages",malad kan west,0.0,0,0.0,0.0
andhra kodi pulao,"hyderabadi, south indian, north indian, andhra, kebabs, mughlai",malad kan west,4.4,73,0.0,175.0
maharaja bhog,"gujarati, rajasthani, thalis",goregaon east,4.4,51,10.0,800.0
pizza caprina,"pizzas, italian-american, desserts",goregaon west,4.1,55,0.0,125.0
satkar restaurant,"indian, chinese, tandoor",dahisar west,3.9,53,0.0,0.0
upwas uphargruha,indian,rawal pada,3.4,40,0.0,0.0
eva's pizza,"pizzas, italian, salads",malad west,4.1,52,0.0,175.0
biryani culture,"asian, biryani, chinese, desserts, indian, mughlai, north indian, seafood, tandoor, thai, kebabs",malad kan west,3.9,51,0.0,0.0
zaffran,"north indian, biryani, indian, kebabs, rolls & wraps",andheri link road,4.4,67,0.0,175.0
home plate by eatfit,"north indian, home food, healthy food, indian, punjabi, south indian, rajasthani, maharashtrian, snacks, desserts, beverages",gorai road,0.0,0,0.0,159.0
the dessert heaven - pure veg,"bakery, desserts, sweets, ice cream",l t road junction,4.3,39,0.0,125.0
